entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Morelos,137.0,92.0,0.0,785.31,8.54,2020,8
Michoacán,Nocupétaro,6.0,6.0,0.0,45.0,7.5,2020,8
Michoacán,Nuevo Parangaricutiro,8940.0,8940.0,0.0,59500.0,6.66,2020,8
Michoacán,Nuevo Urecho,293.35,208.1,0.0,1739.06,8.36,2020,8
Michoacán,Ocampo,94.3,87.0,0.0,490.0,5.63,2020,8
Michoacán,Pajacuarán,6.0,6.0,0.0,40.0,6.67,2020,8
Michoacán,Pátzcuaro,1090.0,863.0,0.0,4975.5,5.77,2020,8
Michoacán,Peribán,11716.0,11705.0,0.0,89546.74,7.65,2020,8
Michoacán,Purépero,859.0,851.0,0.0,4859.01,5.71,2020,8
Michoacán,Queréndaro,32.0,18.0,0.0,121.0,6.72,2020,8
Michoacán,Quiroga,20.0,20.0,0.0,123.0,6.15,2020,8
Michoacán,Los Reyes,6329.0,6314.0,0.0,47046.21,7.45,2020,8
Michoacán,Sahuayo,10.0,10.0,0.0,70.0,7.0,2020,8
Michoacán,Salvador Escalante,16515.0,16205.0,0.0,103891.2,6.41,2020,8
Michoacán,Susupuato,203.3,203.3,0.0,1200.0,5.9,2020,8
Michoacán,Tacámbaro,17110.0,16969.0,0.0,110460.8,6.51,2020,8
Michoacán,Tancítaro,22940.0,22940.0,0.0,147500.0,6.43,2020,8
Michoacán,Tangamandapio,3056.0,3056.0,0.0,21933.75,7.18,2020,8
Michoacán,Tangancícuaro,1854.0,1850.0,0.0,12055.39,6.52,2020,8
Michoacán,Tanhuato,10.0,2.0,0.0,19.4,9.7,2020,8
Michoacán,Taretan,2300.0,2300.0,0.0,14500.0,6.3,2020,8
Michoacán,Tarímbaro,2.0,2.0,0.0,10.4,5.2,2020,8
Michoacán,Tepalcatepec,17.0,0.0,0.0,0.0,0.0,2020,8
Michoacán,Tingambato,4150.0,4150.0,0.0,24900.0,6.0,2020,8
Michoacán,Tingüindín,5351.0,5336.0,0.0,42202.73,7.91,2020,8
Michoacán,Tlazazalca,274.0,270.0,0.0,1634.16,6.05,2020,8
Michoacán,Tocumbo,1038.0,1023.0,0.0,7150.46,6.99,2020,8
Michoacán,Turicato,6347.0,6045.0,0.0,38415.0,6.35,2020,8
Michoacán,Tuxpan,380.0,380.0,0.0,1758.98,4.63,2020,8
Michoacán,Tuzantla,18.0,18.0,0.0,190.0,10.56,2020,8
Michoacán,Tzintzuntzan,54.0,47.0,0.0,275.7,5.87,2020,8
Michoacán,Tzitzio,54.0,44.0,0.0,248.0,5.64,2020,8
Michoacán,Uruapan,17490.0,17490.0,0.0,118500.0,6.78,2020,8
Michoacán,Vista Hermosa,2.0,0.0,0.0,0.0,0.0,2020,8
Michoacán,Yurécuaro,7.0,2.0,0.0,18.62,9.31,2020,8
Michoacán,Zacapu,3910.0,2962.0,0.0,23279.99,7.86,2020,8
Michoacán,Zinapécuaro,140.0,57.0,0.0,435.0,7.63,2020,8
Michoacán,Ziracuaretiro,5225.0,5225.0,0.0,36000.0,6.89,2020,8
Michoacán,Zitácuaro,1325.0,1252.38,0.0,10600.0,8.46,2020,8
Total,Total,169939.45,165946.66,0.0,1121901.9,6.76,2020,8
Michoacán,Acuitzio,2007.0,1842.0,0.0,12052.0,6.54,2020,9
Michoacán,Aguililla,45.0,36.0,0.0,310.0,8.61,2020,9
