Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,20,Oaxaca,108,Sierra Juárez,3,Ayutla/Mixe,31,Tamazulápam del Espíritu Santo,35.0,35.0,0.0,140.0,4.0,5000.0,700000.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,541,Tanetze de Zaragoza,2.0,2.0,0.0,8.0,4.0,8000.0,64000.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,522,Santo Domingo Xagacía,1.0,1.0,0.0,4.0,4.0,8000.0,32000.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,457,Santiago Camotlán,5.0,5.0,0.0,20.0,4.0,8000.0,160000.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,432,Santa María Temaxcalapa,1.0,1.0,0.0,4.0,4.0,8000.0,32000.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,280,Villa Talea de Castro,1.0,1.0,0.0,4.0,4.0,8000.0,32000.0
2003,20,Oaxaca,109,Cañada,1,Teotitlán de Flores Magón,142,San Francisco Huehuetlán,8.0,8.0,0.0,28.0,3.5,2700.0,75600.0
2003,20,Oaxaca,108,Sierra Juárez,2,Villa Alta,222,San Juan Yaeé,3.0,3.0,0.0,12.0,4.0,8000.0,96000.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,220,San Juan Tepeuxila,8.0,8.0,0.0,28.0,3.5,2615.5,73234.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,425,Santa María Pápalo,6.0,6.0,0.0,21.0,3.5,2700.0,56700.0
2003,21,Puebla,115,Cholula,1,Atlixco,148,Santa Isabel Cholula,10.0,10.0,0.0,100.0,10.0,10000.0,1000000.0
2003,21,Puebla,115,Cholula,1,Atlixco,69,Huaquechula,184.0,184.0,0.0,1840.0,10.0,10000.0,18400000.0
2003,21,Puebla,115,Cholula,1,Atlixco,19,Atlixco,171.0,171.0,0.0,1710.0,10.0,10000.0,17100000.0
2003,21,Puebla,114,Libres,2,Guadalupe Victoria,116,Quimixtlán,45.0,45.0,0.0,90.0,2.0,3000.0,270000.0
2003,21,Puebla,114,Libres,2,Guadalupe Victoria,58,Chilchotla,51.0,51.0,0.0,204.0,4.0,3000.0,612000.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,212,Zautla,17.0,17.0,0.0,34.0,2.0,4200.0,142800.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,204,Yaonáhuac,60.0,60.0,0.0,120.0,2.0,4200.0,504000.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,199,Xiutetelco,107.0,107.0,0.0,214.0,2.0,4200.0,898800.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,186,Tlatlauquitepec,90.0,90.0,0.0,180.0,2.0,4200.0,756000.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,174,Teziutlán,429.0,429.0,0.0,858.0,2.0,4200.0,3603600.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,173,Teteles de Avila Castillo,64.0,64.0,0.0,128.0,2.0,4200.0,537600.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,75,Hueyapan,240.0,240.0,0.0,480.0,2.0,4200.0,2016000.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,276,San Miguel Santa Flor,4.0,4.0,0.0,14.0,3.5,2600.0,36400.0
2003,21,Puebla,113,Teziutlán,2,Tlatlauquitepec,54,Chignautla,50.0,50.0,0.0,100.0,2.0,4200.0,420000.0
2003,21,Puebla,113,Teziutlán,1,Zacapoaxtla,207,Zacapoaxtla,51.0,51.0,0.0,102.0,2.0,4200.0,428400.0
2003,21,Puebla,113,Teziutlán,1,Zacapoaxtla,200,Xochiapulco,42.0,42.0,0.0,84.0,2.0,4200.0,352800.0
2003,21,Puebla,112,Zacatlán,1,Zacatlán,172,Tetela de Ocampo,60.0,60.0,0.0,306.0,5.1,3000.0,918000.0
2003,21,Puebla,112,Zacatlán,1,Zacatlán,39,Cuautempan,40.0,40.0,0.0,194.0,4.85,3000.0,582000.0
2003,21,Puebla,111,Huauchinango,1,Xicotepec de Juárez,91,Juan Galindo,3.0,3.0,0.0,7.2,2.4,6300.0,45360.0
2003,21,Puebla,111,Huauchinango,1,Xicotepec de Juárez,71,Huauchinango,10.0,10.0,0.0,50.0,5.0,6700.0,335000.0
2003,20,Oaxaca,109,Cañada,3,Huautla de Jiménez,234,San Lucas Zoquiápam,16.0,16.0,0.0,56.0,3.5,2750.0,154000.0
2003,20,Oaxaca,109,Cañada,3,Huautla de Jiménez,58,Mazatlán Villa de Flores,28.0,28.0,0.0,98.0,3.5,2800.0,274400.0
2003,20,Oaxaca,109,Cañada,3,Huautla de Jiménez,58,Mazatlán Villa de Flores,8.0,8.0,0.0,48.0,6.0,5360.0,257280.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,527,Santos Reyes Pápalo,7.0,7.0,0.0,24.5,3.5,2700.0,66150.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,478,Santiago Nacaltepec,7.0,7.0,0.0,24.5,3.5,2700.0,66150.0
2003,20,Oaxaca,109,Cañada,2,Cuicatlán,438,Santa María Tlalixtac,2.0,2.0,0.0,7.0,3.5,2600.0,18200.0
