entidad,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Veracruz,962.0,581.0,0.0,3630.0,6.25,2018,4
Yucatán,385.65,66.6,0.0,1603.26,24.07,2018,4
Zacatecas,43.0,0.0,0.0,0.0,0.0,2018,4
Total,231028.04,167504.95,0.0,738169.11,4.41,2018,4
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,5
Baja California,46.75,0.0,0.0,0.0,0.0,2018,5
Baja California Sur,168.0,0.0,0.0,0.0,0.0,2018,5
Campeche,80.5,0.0,0.0,0.0,0.0,2018,5
Colima,773.5,721.5,0.0,2613.45,3.62,2018,5
Chiapas,3281.0,152.0,0.0,705.39,4.64,2018,5
Durango,1084.23,0.0,0.0,0.0,0.0,2018,5
Guanajuato,292.0,142.0,0.0,705.5,4.97,2018,5
Guerrero,4272.98,1755.98,0.0,10651.08,6.07,2018,5
Hidalgo,861.7,2.5,0.0,10.0,4.0,2018,5
Jalisco,22533.83,10822.54,0.0,47991.12,4.43,2018,5
México,9977.67,2359.4,0.0,28848.15,12.23,2018,5
Michoacán,166511.84,150882.32,0.0,780075.27,5.17,2018,5
Morelos,5442.7,865.0,0.0,4709.25,5.44,2018,5
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,5
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,5
Oaxaca,3221.58,1104.35,0.0,2186.98,1.98,2018,5
Puebla,2974.45,1458.8,0.0,6637.38,4.55,2018,5
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,5
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,5
Sinaloa,13.5,4.0,0.0,16.0,4.0,2018,5
Sonora,30.0,0.0,0.0,0.0,0.0,2018,5
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,5
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,5
Veracruz,962.0,612.0,0.0,6122.5,10.0,2018,5
Yucatán,385.65,88.5,0.0,2157.5,24.38,2018,5
Zacatecas,43.0,0.0,0.0,0.0,0.0,2018,5
Total,231028.04,170970.89,0.0,893429.57,5.23,2018,5
Aguascalientes,23.0,0.0,0.0,0.0,0.0,2018,6
Baja California,46.75,0.0,0.0,0.0,0.0,2018,6
Baja California Sur,168.0,57.0,0.0,120.0,2.11,2018,6
Campeche,80.5,0.0,0.0,0.0,0.0,2018,6
Colima,773.5,721.5,0.0,2643.49,3.66,2018,6
Chiapas,3281.0,624.0,0.0,1125.24,1.8,2018,6
Durango,1084.23,0.0,0.0,0.0,0.0,2018,6
Guanajuato,292.0,151.0,0.0,731.35,4.84,2018,6
Guerrero,4272.98,2461.64,0.0,17755.64,7.21,2018,6
Hidalgo,861.7,29.5,0.0,119.55,4.05,2018,6
Jalisco,22533.83,10900.54,0.0,51343.99,4.71,2018,6
México,9977.67,4810.86,0.0,56937.94,11.84,2018,6
Michoacán,166511.84,150937.71,0.0,893765.42,5.92,2018,6
Morelos,5442.7,1405.8,0.0,8501.05,6.05,2018,6
Nayarit,7058.56,0.0,0.0,0.0,0.0,2018,6
Nuevo León,681.1,0.0,0.0,0.0,0.0,2018,6
Oaxaca,3221.58,1537.3,0.0,2880.87,1.87,2018,6
Puebla,2974.45,1841.6,0.0,9076.79,4.93,2018,6
Querétaro,157.5,0.0,0.0,0.0,0.0,2018,6
San Luis Potosí,67.0,0.0,0.0,0.0,0.0,2018,6
Sinaloa,13.5,4.0,0.0,28.0,7.0,2018,6
Sonora,30.0,0.0,0.0,0.0,0.0,2018,6
Tabasco,59.0,0.0,0.0,0.0,0.0,2018,6
Tlaxcala,25.0,0.0,0.0,0.0,0.0,2018,6
